Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
1770000,2800,180,4,3,2,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6100161,-46.6817975
980862,0,100,3,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.5053909,-46.6227832
2109500,3400,315,4,6,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.610753,-46.6811536
1300000,1200,139,4,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6165496,-46.6792578
800000,1481,76,2,2,1,2,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6069955,-46.69516
1950000,1600,138,2,3,2,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6172149,-46.6840777
1462500,900,128,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6126842,-46.6851879
1380000,0,184,3,2,1,2,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6100398,-46.6825835
1200000,2217,121,3,2,1,3,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6104856,-46.6811616
592617,0,65,2,2,1,1,1,0,1,1,Brooklin/São Paulo,sale,apartment,0.0,0.0
1950000,2600,210,3,2,1,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.610067,-46.682032
1300000,1800,169,3,4,3,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6220498,-46.6808683
850000,1680,116,3,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6120761,-46.6818755
620000,870,62,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6127102,-46.6837266
1070000,1000,93,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6154236,-46.6859729
2239000,1490,167,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6119465,-46.6914314
1890000,1442,178,4,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6155658,-46.6807763
1500000,1400,98,2,2,1,2,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6068912,-46.6959343
1500000,0,140,3,3,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6106241,-46.6813139
2700000,0,180,2,3,2,2,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.606882,-46.696656
3150000,0,210,4,4,3,3,1,1,0,0,Brooklin/São Paulo,sale,apartment,-23.606882,-46.696656
1500000,650,184,3,2,1,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6111147,-46.6907737
636000,850,65,2,1,0,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.612855,-46.6836298
1800000,2800,180,4,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6100161,-46.6817975
3460000,2200,240,3,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6108372,-46.6930098
2150000,1580,178,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,0.0,0.0
580000,0,70,2,2,0,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6168081,-46.6793209
2350000,1625,178,2,3,2,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,0.0,0.0
640000,750,67,3,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6127342,-46.6794609
2400000,1580,178,3,4,3,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,0.0,0.0
3200000,2300,226,4,5,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614159,-46.6883148
1550000,0,158,4,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6113553,-46.6804634
885000,760,72,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6140789,-46.6886764
1350000,1700,170,4,4,3,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6220498,-46.6808683
1800000,0,196,4,3,2,3,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6109539,-46.6809188
2660000,0,150,3,4,3,3,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6210099,-46.6956445
800000,0,95,3,3,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6113228,-46.6894447
1700000,1200,121,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6208425,-46.6845247
1400000,2630,96,2,3,2,2,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6143711,-46.6893436
3600000,0,238,4,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6096077,-46.6930127
980000,1300,115,3,2,1,1,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6126951,-46.6786961
1290000,2527,187,3,2,1,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6125211,-46.6793587
2100000,0,148,3,4,3,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6025998,-46.6946954
1900000,1100,134,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6208425,-46.6845247
960000,1300,75,2,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6040517,-46.6948844
2400000,2850,198,4,4,3,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6112939,-46.6801293
1050000,0,119,3,2,1,2,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6237686,-46.6870456
1950000,1500,172,3,4,3,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.620077,-46.6847506
3600000,0,236,4,4,3,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6096077,-46.6930127
530000,400,49,1,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6176824,-46.6949631
530000,400,49,1,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6176824,-46.6949631
1200000,1048,77,1,2,1,2,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6121056,-46.6811751
1500000,0,140,3,2,1,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6106241,-46.6813139
1600000,0,162,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6226092,-46.68201
1700000,0,216,4,3,2,3,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6124084,-46.6825042
1900000,1050,227,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6132778,-46.6843195
1906000,1600,138,2,3,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6172149,-46.6840777
1900000,0,131,2,3,2,2,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6040517,-46.6948844
1600000,1400,99,2,2,1,2,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.6068912,-46.6959343
